Wavelength,FluxDens1,FluxDens2,r_a,r_b,T_r,N_r,pix,res,dis,,,,,,,,
4.20406,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20408,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2041,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20412,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20414,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20416,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20418,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2042,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20422,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20424,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20426,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20428,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2043,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20432,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20434,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20436,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20438,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2044,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20442,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20444,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20446,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20448,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2045,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20452,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20454,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20456,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20458,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2046,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20462,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20464,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20466,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20468,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2047,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20472,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20474,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20476,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20478,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2048,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20482,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20484,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20486,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20488,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2049,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20492,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20494,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20496,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20498,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.205,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20502,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20504,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20506,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20508,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2051,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20512,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20514,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20516,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20518,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2052,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20522,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20524,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20526,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20528,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2053,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20532,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20534,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20536,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20538,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2054,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20542,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20544,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20546,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20548,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2055,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20552,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20554,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20556,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20558,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2056,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
